Index,Stunde,Wochentag,Basel,Birskopfsteg,Viaduktstrasse
137,16,6,0.0756943110403688,0.0987595198739437,0.0733631653320773
138,17,6,0.0736189247783968,0.0911745168615698,0.0733631653320773
139,18,6,0.0665667279563105,0.075015834273091,0.0709926478117512
140,19,6,0.0500096050934438,0.0551959587845458,0.0539075139773495
141,20,6,0.0380032382886468,0.0420650981724932,0.0382610743615474
142,21,6,0.0335114849474464,0.0329661841719061,0.0354195252821069
143,22,6,0.0305270451988254,0.0260145520831724,0.0323987794138729
144,23,6,0.0282122176788606,0.0183986529281819,0.0310215240942882
145,0,7,0.0283045093117436,0.0120540672318986,0.0305541382970613
146,1,7,0.0202864746965993,0.00734079150526858,0.0196637285431951
147,2,7,0.0138763237282504,0.00495706585042122,0.0124445069993021
148,3,7,0.00967362018087252,0.00308800823468863,0.0066914149322355
149,4,7,0.0075475950008389,0.00239726955061354,0.00490273697050734
150,5,7,0.00657875257837096,0.00224828669718558,0.00488514341678542
151,6,7,0.012177970924858,0.00502478532925211,0.0117583584041474
152,7,7,0.0127512163989328,0.00719180865184062,0.015341578845511
153,8,7,0.020911534323998,0.0125010157921825,0.0262261240814699
154,9,7,0.0382775001562649,0.0292954465422434,0.0435323164259282
155,10,7,0.0503954324590175,0.0432185713898746,0.0540649905874488
156,11,7,0.0587868579568446,0.0593764390389252,0.0585572113044447
157,12,7,0.0657036362021377,0.0695885364466235,0.0646563099280424
158,13,7,0.0727446039260324,0.0882791126039494,0.067318801057959
159,14,7,0.0807823772662524,0.110166048162093,0.0701630922430022
160,15,7,0.0851051580578411,0.120784462442777,0.0746611774779054
161,16,7,0.0857664053478786,0.118048595498009,0.078185752740196
162,17,7,0.0832159975787164,0.104017119484248,0.0810535019968683
163,18,7,0.0736789035796178,0.0745320584012786,0.0795991015558566
164,19,7,0.0545405647249244,0.0508302408104667,0.0598004891007935
165,20,7,0.0421833003806284,0.0369612915459003,0.045602491247207
166,21,7,0.0342409308782746,0.0211691090825365,0.0418022836432731
167,22,7,0.0259440867714354,0.0118915404827044,0.0306772931731147
168,23,7,0.0165262475696695,0.00503832922501828,0.017857457027745
